status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
232633627068_10155689734022069,"加油！放寬心才能走出來
　
#金曲男星 #蛋堡 #邱振熙 蛋堡 Soft Lipa",【壹週刊】​金曲男星進精神療養院　曾入圍歌王,link,https://www.facebook.com/232633627068/posts/10155689734022069,2017-03-14 18:20:02,275,3,0,240,13,14,3,4,1
232633627068_10155689752042069,"#最新 趕快清查把該抓的抓起來！
　
相關→ 自殺副局長12年前與晶鑽搭上線　多次提供開發意見
http://www.appledaily.com.tw/realtimenews/article/local/20170223/1062769/
　
#晶鑽弊案 #建管處",【晶鑽弊案】北市高官也涉貪　建管處前主秘遭搜索約談,link,https://www.facebook.com/232633627068/posts/10155689752042069,2017-03-14 17:59:25,157,8,0,141,3,2,7,0,4
232633627068_10155689484782069,"#慎入 這就跟把雞排放進我嘴裡又不讓我咬一樣呀...... #宅編
　　
完整 #動新聞【大咬片】馴獸師把頭放進鱷魚嘴　被咬得血流滿面
http://www.appledaily.com.tw/actionnews/appledaily/7/20170313/1075123/
　
【圖文報導】
http://www.appledaily.com.tw/realtimenews/article/international/20170313/1075123/
　
#馴獸師 #鱷魚 #越南 #雜技",【大咬片】馴獸師把頭放進鱷魚嘴　被咬得血流滿面,video,https://www.facebook.com/232633627068/posts/10155689484782069,2017-03-14 17:50:00,269,24,4,210,4,29,24,2,0
232633627068_10155689727032069,"距離周末前往台中還有...好久 #隨編
　
#正妹 #紅豆餅妹 #朝聖啦 #蕭卉君 
🚀太空船可以放進口袋？ https://goo.gl/xekpFW",清新紅豆餅妹藏逆天「胸器」！網友揪朝聖啦,link,https://www.facebook.com/232633627068/posts/10155689727032069,2017-03-14 17:40:00,2904,109,144,2802,38,44,18,1,1
232633627068_10155689539617069,"Betty批「這種人根本不配當攝影師，很沒道德」
　　
【完整 #動新聞】大尺度女模控無良攝影師　外流露點走光照
http://www.appledaily.com.tw/actionnews/appledaily/5/20170313/1074867/
　
【圖文報導】
http://www.appledaily.com.tw/realtimenews/article/local/20170313/1074867/
　
#外流 #外拍 #大尺度模特兒 #攝影師 #色影濕",大尺度女模控無良攝影師　外流露點走光照,video,https://www.facebook.com/232633627068/posts/10155689539617069,2017-03-14 17:30:00,595,18,7,496,8,21,4,2,64
232633627068_10155689589367069,"真的是嗆的相當得體！
　
#張茜 #開嗆
🚀太空船可以放進口袋？ https://goo.gl/xekpFW",張衛健妻17年後長這樣！挨批「老了」她回嗆,link,https://www.facebook.com/232633627068/posts/10155689589367069,2017-03-14 17:20:00,652,15,4,637,6,8,2,0,0
232633627068_10155689660657069,"只要可以，我會繼續創作《海綿寶寶》
　
#StephenHillenburg #漸凍人 #海綿寶寶 #是誰住在深海的大鳳梨裡 海綿寶寶 台灣粉絲團
🚀太空船可以放進口袋？ https://goo.gl/xekpFW",驚！《海綿寶寶》作者罹患漸凍人症,link,https://www.facebook.com/232633627068/posts/10155689660657069,2017-03-14 17:10:00,1058,31,44,613,14,149,2,279,1
232633627068_10155689668257069,"真的是有夠胎戈
　
【黑心】不僅發霉芋、過期蝦上菜　日系頂級飯店菜刀櫃竟成小強窩
http://www.appledaily.com.tw/realtimenews/article/life/20170314/1075935/
　
#大倉久和 #小強 #食材",除使用過期食材外　五星飯店菜刀櫃還有「小強」出沒,link,https://www.facebook.com/232633627068/posts/10155689668257069,2017-03-14 16:58:35,801,46,36,556,10,81,10,5,139
232633627068_10155689436712069,"佛珠的存在感好大～ #鄉編
　　
完整 #動新聞【狗仔偷拍】許半仙跛腳顧店　賣石掏金吸師奶
http://ent.appledaily.com.tw/actionnews/index/20170314/1075312/0
　
【圖文報導】
http://ent.appledaily.com.tw/realtimenews/article/entertainment/20170314/1075312/
　
#許效舜 #痛風 #命理 #狗仔偷拍 #蘋果狗仔",【狗仔偷拍】許半仙跛腳顧店　賣石掏金吸師奶,video,https://www.facebook.com/232633627068/posts/10155689436712069,2017-03-14 16:50:00,731,12,2,683,9,12,25,1,1
232633627068_10155689637617069,"人生是無常的，能做的時候就要做，等回頭看的時候，這輩子就值得了...
　
【張忠謀跌倒上頭條　張淑芬：沒想到我老公這麼重要】
http://www.appledaily.com.tw/realtimenews/article/finance/20170314/1076101/
　
#張淑芬 #志工 #張忠謀
🚀太空船可以放進口袋？ https://goo.gl/xekpFW",【最善心董娘】張淑芬假日也當志工　張忠謀只問這句話,link,https://www.facebook.com/232633627068/posts/10155689637617069,2017-03-14 16:39:03,323,15,2,309,7,5,0,1,1
